KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
    2   20   21    1
Estimate
EstimationVariance
 30.388758     0.38824126E-01
 26.878040     0.65649465E-01
 19.884239     0.63524492E-01
 11.232830     0.72935730E-01
 9.6456842     0.78171745E-01
 11.435754     0.10072537    
 12.909332     0.51417015E-01
 15.932971     0.83634444E-01
 24.426598     0.46026383E-01
 38.352142     0.20070419E-01
 44.769356     0.19990733E-01
 42.212925     0.75049311E-01
 39.006023     0.76225847E-01
 33.771812     0.67151420E-01
 35.359180     0.55312753E-01
 38.514374     0.10175597    
 38.930477     0.74985884E-01
 39.470192     0.81497729E-01
 37.855984     0.80816276E-01
 36.718277     0.28401244    
 28.392092     0.80748156E-01
 24.228985     0.57863925E-01
 17.801052     0.87080218E-01
 10.527800     0.50017618E-01
 9.0873070     0.90974703E-01
 10.574077     0.90612732E-01
 12.805713     0.72951339E-01
 13.935961     0.53295542E-01
 21.402117     0.48061058E-01
 32.827877     0.17508363E-01
 40.245319     0.46658657E-01
 39.477406     0.71056254E-01
 35.945686     0.96834488E-01
 33.109554     0.76653779E-01
 33.025288     0.35171941E-01
 38.995777     0.78063957E-01
 43.378262     0.83692238E-01
 44.942234     0.41562688E-01
 43.057930     0.22516992E-01
 37.061344     0.14708328    
 26.339087     0.51855359E-01
 20.212938     0.96517697E-01
 15.917616     0.74314356E-01
 12.764901     0.95542751E-01
 10.368113     0.77196702E-01
 11.380345     0.95782697E-01
 13.673709     0.71687154E-01
 15.828794     0.88334754E-01
 20.356564     0.64630538E-01
 31.114019     0.84017038E-01
 36.230347     0.59962165E-01
 41.208534     0.49910359E-01
 40.212826     0.31282119E-01
 36.418827     0.83089083E-01
 34.403942     0.38747042E-01
 40.829021     0.56431867E-01
 45.387768     0.64709470E-01
 46.561310     0.45983288E-01
 44.788475     0.21765249E-01
 37.639721     0.58274932E-01
 23.412378     0.89831598E-01
 16.231829     0.85487723E-01
 12.946007     0.80253325E-01
 13.058684     0.54097995E-01
 12.007188     0.96328408E-01
 11.237167     0.85214674E-01
 13.813398     0.51407628E-01
 19.989939     0.80435030E-01
 25.077595     0.97473837E-01
 30.354044     0.87280251E-01
 35.191116     0.78422323E-01
 39.105984     0.22843562E-01
 42.018711     0.18679321E-01
 38.996258     0.41547559E-01
 39.264782     0.49903356E-01
 43.105110     0.18901076E-01
 45.725449     0.43948319E-01
 44.979462     0.73876314E-01
 43.437984     0.85358031E-01
 39.366859     0.15625551    
 23.173742     0.62184315E-01
 14.837003     0.90532996E-01
 10.433016     0.40381860E-01
 11.933976     0.22019116E-01
 12.841044     0.52207030E-01
 13.926809     0.10113443    
 16.467497     0.67712642E-01
 23.418715     0.85967690E-01
 30.376648     0.70889719E-01
 33.450352     0.64938679E-01
 35.141422     0.41101411E-01
 33.097321     0.22992579E-01
 33.040531     0.29241372E-01
 32.390617     0.59578277E-01
 36.551083     0.57552703E-01
 37.209148     0.20996120E-01
 41.644058     0.31849209E-01
 42.933014     0.69170758E-01
 41.905186     0.95610552E-01
 42.968369     0.25428194    
 26.189369     0.63963115E-01
 16.311752     0.49419526E-01
 10.809642     0.91671199E-01
 12.061309     0.52084289E-01
 13.996518     0.79749912E-01
 16.273426     0.88698976E-01
 20.537529     0.10041224    
 26.806118     0.89292400E-01
 32.822067     0.89078024E-01
 37.924709     0.42073630E-01
 38.310532     0.41857503E-01
 36.372200     0.66432863E-01
 29.034744     0.52329883E-01
 23.917421     0.49866319E-01
 29.336472     0.88021040E-01
 35.365391     0.70933126E-01
 37.899609     0.53377647E-01
 39.774940     0.43229327E-01
 39.628990     0.10635200    
 40.396530     0.25476694    
 26.345835     0.68272851E-01
 18.875439     0.40317610E-01
 12.095171     0.65955594E-01
 12.454775     0.98896228E-01
 14.163771     0.72654709E-01
 16.822048     0.93127109E-01
 23.125099     0.68953864E-01
 30.588337     0.71350425E-01
 36.101810     0.59962653E-01
 39.471199     0.51206972E-01
 41.932220     0.46631303E-01
 41.812199     0.77023044E-01
 37.446110     0.68468444E-01
 29.346247     0.87933294E-01
 27.174017     0.40131982E-01
 32.199715     0.77590987E-01
 35.754906     0.47128879E-01
 36.857075     0.49627580E-01
 36.948185     0.44283509E-01
 37.477001     0.19856997    
 23.833820     0.10468342    
 17.629002     0.77832349E-01
 15.014801     0.38602021E-01
 14.800494     0.74029692E-01
 14.174000     0.90758584E-01
 16.301270     0.49803331E-01
 22.594246     0.64826041E-01
 32.579197     0.49108561E-01
 38.351986     0.69016747E-01
 40.981392     0.41639730E-01
 42.987091     0.67400999E-01
 44.600533     0.48425712E-01
 43.418781     0.47133550E-01
 39.966644     0.72921112E-01
 33.269409     0.91450393E-01
 29.286640     0.77327386E-01
 29.678246     0.91668643E-01
 31.197853     0.54039720E-01
 32.862175     0.51024981E-01
 37.810585     0.13137092    
 21.855869     0.74100673E-01
 16.266386     0.10074191    
 16.898050     0.50294522E-01
 19.704651     0.56421682E-01
 16.203533     0.73664702E-01
 16.312361     0.87944947E-01
 19.467478     0.50166521E-01
 27.892076     0.53830802E-01
 36.198360     0.52349769E-01
 39.464031     0.94568104E-01
 42.181736     0.69394134E-01
 44.080193     0.40609200E-01
 45.041225     0.14436174E-01
 43.931946     0.22784591E-01
 38.851410     0.63083574E-01
 30.717888     0.10209027    
 26.982672     0.78084871E-01
 28.095613     0.77749245E-01
 31.875580     0.16445590E-01
 38.864449     0.72975613E-01
 22.190414     0.61772771E-01
 17.200161     0.69243088E-01
 15.316682     0.89510001E-01
 16.883619     0.45211464E-01
 17.440634     0.80893479E-01
 17.596607     0.78512259E-01
 19.167664     0.95469087E-01
 22.006931     0.49016025E-01
 27.995762     0.54511778E-01
 34.223995     0.82783476E-01
 38.499153     0.10284026    
 42.249825     0.74152857E-01
 44.212814     0.25202284E-01
 44.173382     0.28878655E-01
 39.582905     0.45663983E-01
 30.760466     0.83119981E-01
 27.229218     0.10290290    
 29.139889     0.75830698E-01
 36.888290     0.26765032E-01
 44.721733     0.77073023E-01
 25.328678     0.66241741E-01
 22.323885     0.51637493E-01
 17.297550     0.48234325E-01
 14.614320     0.54277480E-01
 15.976796     0.51861346E-01
 17.098734     0.49431432E-01
 19.384773     0.70723683E-01
 20.702301     0.10135603    
 22.941999     0.73589385E-01
 26.064697     0.73854245E-01
 30.846373     0.64869054E-01
 36.104778     0.98953664E-01
 41.145187     0.66001289E-01
 43.764877     0.44860616E-01
 40.737625     0.35644263E-01
 32.582012     0.74055657E-01
 28.821001     0.68544984E-01
 30.431635     0.90722799E-01
 35.358742     0.74684754E-01
 39.708424     0.17849192    
 28.429457     0.79035349E-01
 27.130428     0.68002433E-01
 22.363523     0.43870617E-01
 14.814260     0.27223445E-01
 13.096785     0.25742659E-01
 15.713430     0.41772574E-01
 18.578566     0.89419164E-01
 19.841637     0.91022097E-01
 19.442425     0.10324726    
 20.303036     0.77012822E-01
 21.841700     0.53754814E-01
 25.963615     0.75993143E-01
 34.271183     0.71142949E-01
 40.060562     0.72529785E-01
 39.637329     0.74090116E-01
 34.323219     0.78600481E-01
 30.408566     0.58149077E-01
 29.416874     0.51111091E-01
 33.264317     0.77367701E-01
 36.103561     0.21943735    
 30.304487     0.54732081E-01
 29.030382     0.56138627E-01
 24.120007     0.62812865E-01
 16.982954     0.78282639E-01
 13.399139     0.63182406E-01
 14.663661     0.48931167E-01
 18.910500     0.61533265E-01
 21.106461     0.69148161E-01
 18.785797     0.64461544E-01
 17.779739     0.99175036E-01
 17.522083     0.74530602E-01
 17.660944     0.66706143E-01
 23.069803     0.26880048E-01
